Date,Open,High,Low,Close,Adj Close,Volume
2022-06-29,40.660000,41.305000,39.130001,39.520000,39.520000,5227300
2022-06-30,38.500000,38.509998,36.009998,36.820000,36.820000,9152600
2022-07-01,37.139999,39.490002,36.860001,37.540001,37.540001,6224400
2022-07-05,36.790001,42.360001,35.740002,42.330002,42.330002,9572700
2022-07-06,41.799999,43.299999,40.610001,41.290001,41.290001,5530400
2022-07-07,41.500000,44.619999,40.750000,44.509998,44.509998,6277900
2022-07-08,42.639999,46.389999,42.070000,45.230000,45.230000,7224400
2022-07-11,44.459999,45.080002,41.130001,41.340000,41.340000,6098400
2022-07-12,41.630001,42.639999,38.540001,39.759998,39.759998,7366300
2022-07-13,34.040001,34.970001,32.509998,32.820000,32.820000,53179900
2022-07-14,33.160000,33.419998,31.730000,32.509998,32.509998,22091600
2022-07-15,33.099998,34.150002,32.070000,33.709999,33.709999,12964000
2022-07-18,34.950001,36.599998,34.500000,35.279999,35.279999,16326200
2022-07-19,36.000000,36.150002,33.630001,35.650002,35.650002,13287000
2022-07-20,35.689999,41.500000,35.650002,40.520000,40.520000,19243600
2022-07-21,39.009998,41.380001,39.009998,40.389999,40.389999,9056900
2022-07-22,39.759998,39.790001,36.000000,36.470001,36.470001,11433100
